instaid,Rank,Username,Owner,Followers,Profession,Country
ID1550,4,@leomessi,Lionel Messi,333,Footballer,Argentina
ID1561,27,@badgalriri,Rihanna,130,"Musician, Businesswoman",Barbados
ID1556,20,@neymarjr,Neymar,175,Footballer,Brazil
ID1530,31,@champagnepapi,Drake,112,Musician,Canada
ID1539,12,@justinbieber,Justin Bieber,239,Musician,Canada
ID1563,44,@shakira,Shakira,74.1,Musician,Colombia
ID1567,35,@championsleague,UEFA Champions League,94.5,Footballclub,Europe
ID1547,49,@k.mbappe,Kylian Mbappe,71.4,Footballer,France
ID1555,50,@nehakakkar,Neha Kakkar,70.1,Musician,India
ID1559,39,@priyankachopra,Priyanka Chopra,79,"Actress ,Musician",India
ID1564,48,@shraddhakapoor,Shraddha Kapoor,72.8,Actress,India
ID1570,17,@virat.kohli,Virat Kohli,199,Cricketer,India
ID1535,37,@gal_gadot,Gal Gadot,81.7,Actress,Israel
ID1543,41,@khaby00,Khaby Lame,78,Socialmedia ,Italy
ID1527,2,@cristiano,Cristiano Ronaldo,450,Footballer,Portugal
ID1534,33,@fcbarcelona,FC Barcelona,109,Footballclub,Spain
ID1560,30,@realmadrid,Real Madrid CF,119,Footballclub,Spain
ID1551,40,@lalalalisa_m,Lisa,78.3,"Musician,Model",Thailand
ID1557,18,@nickiminaj,Nicki Minaj,192,Musician,"Trinidad , Tobago"
ID1528,46,@davidbeckham,David Beckham,73.8,Socialmedia ,United Kingdom
ID1531,36,@dualipa,Dua Lipa,84,Musician,United Kingdom
ID1522,8,@arianagrande,Ariana Grande,314,"Musician,Actress",United States
ID1523,9,@beyonce,Beyonce Knowles,261,"Musician,Actress , businesswoman",United States
ID1524,34,@billieeilish,Billie Eilish,103,Musician,United States
ID1525,26,@iamcardib,Cardi B,133,"Musician, Actor",United States
ID1526,32,@chrisbrownofficial,Chris Brown,111,Musician,United States
ID1529,25,@ddlovato,Demi Lovato,133,"Musician, Actor",United States
ID1532,6,@therock,Dwayne Johnson,320,"Actor , Wrestler",United States
ID1533,29,@theellenshow,Ellen DeGeneres,121,"Comedian , TVpersonality",United States
ID1536,43,@gigihadid,Gigi Hadid,74.6,Model,United States
ID1537,1,@instagram,Instagram,515,Socialmedia,United States
ID1538,16,@jlo,Jennifer Lopez,211,"Musician, Actress",United States
ID1540,22,@katyperry,Katy Perry,163,Musician,United States
ID1541,11,@kendalljenner,Kendall Jenner,240,"Model , Tvpersonality",United States
ID1542,23,@kevinhart4real,Kevin Hart,143,"Comedian , Actor",United States
ID1544,10,@khloekardashian,Khloe Kardashian,249,"TVpersonality , Model",United States
ID1545,7,@kimkardashian,Kim Kardashian,316,"TVpersonality, Model , Businesswoman",United States
ID1546,19,@kourtneykardash,Kourtney Kardashian,182,"TVpersonality , Model",United States
ID1548,3,@kyliejenner,Kylie Jenner,344,"TVpersonality, Model , Businesswoman",United States
ID1549,28,@kingjames,LeBron James,123,Basketball,United States
ID1552,21,@mileycyrus,Miley Cyrus,173,"Musician, Actress",United States
ID1553,42,@nasa,NASA,77.8,Spaceagency,United States
ID1554,13,@natgeo,National Geographic,225,Magazine,United States
ID1558,14,@nike,Nike,221,Sportswear,United States
ID1562,5,@selenagomez,Selena Gomez,324,"Musician, Actress, Producer , Businesswoman",United States
ID1565,45,@snoopdogg,Snoop Dogg,73.9,Musician,United States
ID1566,15,@taylorswift,Taylor Swift,213,Musician,United States
ID1568,47,@victoriassecret,Victoria's Secret,72.8,Lingerie,United States
ID1569,38,@vindiesel,Vin Diesel,80.7,Actor,United States
ID1571,24,@zendaya,Zendaya,143,Actress,United States
